"name","value","percentage"
"JN.1","1207","37.59%"
"JN.1.4","246","7.66%"
"BA.2.86.1","183","5.70%"
"JN.1.1","163","5.08%"
"EG.5.1.1","157","4.89%"
"HK.3","125","3.89%"
"JG.3","121","3.77%"
"HV.1","117","3.64%"
"EG.5.1.3","107","3.33%"
"XBB.1.16.15","102","3.18%"
"JN.1.7","94","2.93%"
"JD.1.1","89","2.77%"
"JN.3","83","2.58%"
"JN.2","79","2.46%"
"EG.5.1","61","1.90%"
"FL.1.5.1","60","1.87%"
"XBB.1.16.11","58","1.81%"
"JN.1.32","55","1.71%"
"JN.1.4.5","53","1.65%"
"GE.1","51","1.59%"
